J0050-0929 14.60 2455255.174   0.637 0.021
J0050-0929 14.60 2455318.981   0.314 0.008
J0050-0929 14.60 2455340.982   0.213 0.007
J0050-0929 14.60 2455374.822   0.194 0.007
J0050-0929 14.60 2455424.626   0.178 0.009
J0050-0929 14.60 2455457.647   0.222 0.011
J0050-0929 14.60 2455486.431   0.305 0.024
J0050-0929 14.60 2455543.277   0.408 0.028
J0050-0929 14.60 2455571.249   0.497 0.013
J0050-0929 14.60 2455639.959   0.566 0.021
J0050-0929 14.60 2455681.892   0.676 0.015
J0050-0929 14.60 2455751.749   0.605 0.044
J0050-0929 14.60 2455779.634   0.516 0.034
J0050-0929 14.60 2455808.573   0.602 0.097
J0050-0929 14.60 2455835.511   0.590 0.018
J0050-0929 14.60 2455900.314   0.721 0.032
J0050-0929 14.60 2455933.230   0.744 0.019
J0050-0929 14.60 2455954.162   0.724 0.016
J0050-0929 14.60 2455990.053   0.863 0.030
J0050-0929 14.60 2456020.019   1.045 0.035
J0050-0929 14.60 2456046.943   1.031 0.058
J0050-0929 14.60 2456087.784   1.039 0.061
J0050-0929 14.60 2456143.706   0.831 0.027
J0050-0929 14.60 2456173.672   0.713 0.029
J0050-0929 14.60 2456200.631   0.667 0.022
J0050-0929 14.60 2456263.357   0.671 0.040
J0050-0929 14.60 2456297.256   0.817 0.039
J0050-0929 14.60 2456383.993   0.725 0.049
J0050-0929 14.60 2456417.903   0.809 0.036
J0050-0929 14.60 2456444.932   0.874 0.048
J0050-0929 14.60 2456465.808   0.923 0.050
J0050-0929 14.60 2456480.705   1.005 0.033
J0050-0929 14.60 2456508.739   0.798 0.033
J0050-0929 14.60 2456536.606   0.672 0.019
J0050-0929 14.60 2456578.495   0.560 0.033
J0050-0929 14.60 2456691.125   0.508 0.015
J0050-0929 14.60 2456719.205   0.526 0.035
J0050-0929 14.60 2456752.939   0.559 0.021
J0050-0929 14.60 2456809.955   0.356 0.035
J0050-0929 14.60 2456872.670   0.373 0.018
J0050-0929 23.05 2455046.595   0.828 0.038
J0050-0929 23.05 2455072.572   0.856 0.040
J0050-0929 23.05 2455103.488   0.915 0.038
J0050-0929 23.05 2455138.505   0.807 0.049
J0050-0929 23.05 2455151.364   0.718 0.028
J0050-0929 23.05 2455166.422   0.839 0.058
J0050-0929 23.05 2455571.263   0.514 0.041
J0050-0929 23.05 2455639.971   0.596 0.039
J0050-0929 23.05 2455681.900   0.589 0.061
J0050-0929 23.05 2455835.519   0.650 0.055
J0050-0929 23.05 2455954.170   0.783 0.050
J0050-0929 23.05 2455990.059   0.775 0.082
J0050-0929 23.05 2456020.025   0.983 0.058
J0050-0929 23.05 2456046.958   0.791 0.104
J0050-0929 23.05 2456087.808   1.075 0.186
J0050-0929 23.05 2456143.713   0.795 0.113
J0050-0929 23.05 2456173.679   0.849 0.186
J0050-0929 23.05 2456201.581   0.665 0.086
J0050-0929 23.05 2456297.265   0.886 0.085
J0050-0929 23.05 2456333.177   0.785 0.101
J0050-0929 23.05 2456384.005   0.695 0.050
J0050-0929 23.05 2456417.914   0.836 0.122
J0050-0929 23.05 2456465.821   0.882 0.105
J0050-0929 23.05 2456480.716   0.836 0.128
J0050-0929 23.05 2456536.618   0.666 0.070
J0050-0929 23.05 2456578.513   0.432 0.065
J0050-0929 23.05 2456691.141   0.465 0.035
J0050-0929 23.05 2456719.215   0.494 0.087
J0050-0929 32.00 2455072.577   0.870 0.028
J0050-0929 32.00 2455103.493   0.892 0.030
J0050-0929 32.00 2455138.511   0.759 0.025
J0050-0929 32.00 2455151.369   0.691 0.021
J0050-0929 32.00 2455166.426   0.831 0.033
J0050-0929 32.00 2455200.368   0.772 0.028
J0050-0929 32.00 2455255.182   0.548 0.020
J0050-0929 32.00 2455571.254   0.525 0.049
J0050-0929 32.00 2455639.964   0.559 0.069
J0050-0929 32.00 2455681.896   0.599 0.055
J0050-0929 32.00 2455751.751   0.455 0.052
J0050-0929 32.00 2455808.574   0.530 0.090
J0050-0929 32.00 2455835.515   0.547 0.049
J0050-0929 32.00 2455933.233   0.563 0.053
J0050-0929 32.00 2455954.165   0.604 0.030
J0050-0929 32.00 2455990.056   0.646 0.081
J0050-0929 32.00 2456020.022   1.037 0.096
J0050-0929 32.00 2456046.952   0.658 0.106
J0050-0929 32.00 2456087.803   1.134 0.202
J0050-0929 32.00 2456144.313   0.631 0.063
J0050-0929 32.00 2456173.675   0.617 0.068
J0050-0929 32.00 2456200.621   0.605 0.097
J0050-0929 32.00 2456263.361   0.622 0.089
J0050-0929 32.00 2456297.260   1.006 0.154
J0050-0929 32.00 2456333.168   0.757 0.136
J0050-0929 32.00 2456383.996   0.586 0.068
J0050-0929 32.00 2456417.906   0.828 0.100
J0050-0929 32.00 2456444.936   0.932 0.070
J0050-0929 32.00 2456465.813   0.670 0.150
J0050-0929 32.00 2456480.708   1.017 0.081
J0050-0929 32.00 2456508.743   0.559 0.072
J0050-0929 32.00 2456536.609   0.623 0.064
J0050-0929 32.00 2456578.503   0.519 0.056
J0050-0929 32.00 2456691.129   0.439 0.049
J0050-0929 32.00 2456719.209   0.524 0.072
J0050-0929 43.00 2455138.516   0.748 0.068
J0050-0929 43.00 2455151.373   0.623 0.024
J0050-0929 43.00 2455166.431   0.788 0.034
J0050-0929 43.00 2455255.185   0.543 0.083
J0050-0929 43.00 2456200.625   0.712 0.130
J0050-0929 43.00 2456333.173   0.812 0.099
J0050-0929 43.00 2456383.999   0.832 0.087
J0050-0929 43.00 2456417.910   1.059 0.190
J0050-0929 43.00 2456465.814   0.810 0.078
J0050-0929 43.00 2456480.712   0.770 0.109
J0050-0929 43.00 2456578.507   0.534 0.135
J0050-0929 43.00 2456691.138   0.447 0.047
J0050-0929 43.00 2456719.212   0.451 0.048
J0051-0650  4.85 2454953.972   0.876 0.008
J0051-0650  4.85 2455001.731   0.836 0.012
J0051-0650  8.35 2455001.727   1.064 0.063
J0051-0650 10.45 2455001.724   1.098 0.015
J0102+5824  2.64 2454156.149   2.092 0.057
J0102+5824  2.64 2454219.506   2.148 0.022
J0102+5824  2.64 2454239.146   1.951 0.041
J0102+5824  2.64 2454275.604   2.131 0.027
J0102+5824  2.64 2454303.839   1.701 0.014
J0102+5824  2.64 2454359.580   1.828 0.027
J0102+5824  2.64 2454424.365   1.587 0.023
J0102+5824  2.64 2454454.359   1.333 0.017
J0102+5824  2.64 2454486.923   1.101 0.016
J0102+5824  2.64 2454513.454   1.007 0.013
J0102+5824  2.64 2454646.126   0.945 0.011
J0102+5824  2.64 2454701.938   0.895 0.012
J0102+5824  2.64 2454757.643   0.842 0.012
J0102+5824  2.64 2454778.819   0.808 0.007
J0102+5824  2.64 2454806.712   0.790 0.007
J0102+5824  2.64 2454896.236   0.634 0.020
J0102+5824  2.64 2454934.961   1.054 0.016
J0102+5824  2.64 2454952.766   1.114 0.013
J0102+5824  2.64 2454984.021   1.614 0.402
J0102+5824  2.64 2455072.836   1.012 0.009
J0102+5824  2.64 2455140.535   1.135 0.009
J0102+5824  2.64 2455228.476   1.250 0.013
J0102+5824  2.64 2455257.114   1.207 0.011
J0102+5824  2.64 2455289.257   1.228 0.012
J0102+5824  2.64 2455319.183   1.351 0.018
J0102+5824  2.64 2455341.201   1.054 0.010
J0102+5824  2.64 2455375.641   1.140 0.011
J0102+5824  2.64 2455424.010   1.008 0.032
J0102+5824  2.64 2455458.504   0.935 0.012
J0102+5824  2.64 2455487.531   1.135 0.012
J0102+5824  2.64 2455571.562   1.308 0.019
J0102+5824  2.64 2455618.230   0.999 0.012
J0102+5824  2.64 2455641.109   1.087 0.018
J0102+5824  2.64 2455682.092   1.096 0.013
J0102+5824  2.64 2455717.085   1.136 0.023
J0102+5824  2.64 2455751.772   1.782 0.022
J0102+5824  2.64 2455780.476   1.254 0.017
J0102+5824  2.64 2455809.384   1.315 0.026
J0102+5824  2.64 2455836.567   1.192 0.020
J0102+5824  2.64 2455898.703   2.101 0.028
J0102+5824  2.64 2455931.300   1.691 0.040
J0102+5824  2.64 2455941.973   1.994 0.052
J0102+5824  2.64 2455955.260   1.764 0.030
J0102+5824  2.64 2455976.124   2.053 0.053
J0102+5824  2.64 2455991.285   2.016 0.042
J0102+5824  2.64 2456030.319   2.693 0.058
J0102+5824  2.64 2456047.248   2.452 0.041
J0102+5824  2.64 2456081.714   2.605 0.052
J0102+5824  2.64 2456110.024   3.074 0.053
J0102+5824  2.64 2456144.744   3.261 0.030
J0102+5824  2.64 2456174.781   2.519 0.025
J0102+5824  2.64 2456296.590   3.697 0.088
J0102+5824  2.64 2456357.331   3.041 0.066
J0102+5824  2.64 2456482.561   2.117 0.048
J0102+5824  2.64 2456536.866   2.316 0.066
J0102+5824  2.64 2456600.284   2.013 0.027
J0102+5824  2.64 2456663.538   2.025 0.048
J0102+5824  2.64 2456837.703   2.950 0.073
