MJD,Freq,Flux,Flux_err,Source
55009.127,43000.0,1.514,0.241,0235+164
55009.15,43000.0,1.605,0.205,0235+164
55010.088,43000.0,1.721,0.208,0235+164
55010.127,43000.0,1.581,0.23,0235+164
55010.15,43000.0,1.56,0.213,0235+164
55011.127,43000.0,1.439,0.183,0235+164
55011.15,43000.0,1.502,0.221,0235+164
55156.727,43000.0,1.294,0.175,0235+164
55157.732,43000.0,1.28,0.165,0235+164
55158.738,43000.0,1.371,0.248,0235+164
55158.8,43000.0,1.265,0.277,0235+164
55161.724,43000.0,1.176,0.23,0235+164
55161.783,43000.0,1.446,0.321,0235+164
55164.726,43000.0,1.509,0.292,0235+164
55164.784,43000.0,1.94,0.328,0235+164
55165.725,43000.0,1.554,0.276,0235+164
