Source,Freq,MJD_1,MJD_2,MJD_diff,Flux_1,Flux_2,Flux_diff
0235+164,5125.0,55973.67188,56002.57422,28.90234000000055,1.0231,0.9941,-0.028999999999999915
0235+164,5125.0,56002.57422,56037.37891,34.80468999999721,0.9941,1.104,0.10990000000000011
0235+164,5125.0,56096.375,56139.39453,43.01952999999776,1.082,1.056,-0.026000000000000023
0235+164,5125.0,56272.625,56315.51953,42.89452999999776,0.8733,1.1467,0.2734000000000001
0235+164,5125.0,56272.71875,56315.51953,42.80077999999776,1.0636,1.1467,0.08309999999999995
0235+164,5125.0,56272.84375,56315.51953,42.67577999999776,1.0209,1.1467,0.12580000000000013
0235+164,8000.0,53349.787,53382.577,32.79000000000087,1.505,1.379,-0.1259999999999999
0235+164,8000.0,53349.787,53382.635,32.84800000000541,1.505,1.285,-0.21999999999999997
0235+164,8000.0,53349.787,53382.694,32.90700000000652,1.505,1.382,-0.123
0235+164,8000.0,53349.787,53382.733,32.94600000000355,1.505,1.353,-0.1519999999999999
0235+164,8000.0,53349.787,53387.841,38.054000000003725,1.505,1.148,-0.357
0235+164,8000.0,53349.787,53387.85,38.06300000000192,1.505,1.063,-0.44199999999999995
0235+164,8000.0,53349.892,53382.577,32.68499999999767,1.477,1.379,-0.09800000000000009
0235+164,8000.0,53349.892,53382.635,32.74300000000221,1.477,1.285,-0.19200000000000017
0235+164,8000.0,53349.892,53382.694,32.80200000000332,1.477,1.382,-0.0950000000000002
0235+164,8000.0,53349.892,53382.733,32.84100000000035,1.477,1.353,-0.12400000000000011
0235+164,8000.0,53349.892,53387.841,37.949000000000524,1.477,1.148,-0.3290000000000002
0235+164,8000.0,53349.892,53387.85,37.95799999999872,1.477,1.063,-0.41400000000000015
0235+164,8000.0,53349.973,53382.577,32.60399999999936,1.492,1.379,-0.11299999999999999
0235+164,8000.0,53349.973,53382.635,32.6620000000039,1.492,1.285,-0.20700000000000007
0235+164,8000.0,53349.973,53382.694,32.721000000005006,1.492,1.382,-0.1100000000000001
0235+164,8000.0,53349.973,53382.733,32.76000000000204,1.492,1.353,-0.139
0235+164,8000.0,53349.973,53387.841,37.86800000000221,1.492,1.148,-0.3440000000000001
0235+164,8000.0,53349.973,53387.85,37.87700000000041,1.492,1.063,-0.42900000000000005
0235+164,8000.0,53350.06,53382.577,32.516999999999825,1.536,1.379,-0.15700000000000003
0235+164,8000.0,53350.06,53382.635,32.575000000004366,1.536,1.285,-0.2510000000000001
0235+164,8000.0,53350.06,53382.694,32.63400000000547,1.536,1.382,-0.15400000000000014
0235+164,8000.0,53350.06,53382.733,32.6730000000025,1.536,1.353,-0.18300000000000005
0235+164,8000.0,53350.06,53387.841,37.78100000000268,1.536,1.148,-0.3880000000000001
0235+164,8000.0,53350.06,53387.85,37.79000000000087,1.536,1.063,-0.4730000000000001
0235+164,8000.0,53350.646,53382.577,31.930999999996857,1.542,1.379,-0.16300000000000003
0235+164,8000.0,53350.646,53382.635,31.989000000001397,1.542,1.285,-0.2570000000000001
0235+164,8000.0,53350.646,53382.694,32.0480000000025,1.542,1.382,-0.16000000000000014
0235+164,8000.0,53350.646,53382.733,32.086999999999534,1.542,1.353,-0.18900000000000006
0235+164,8000.0,53350.646,53387.841,37.19499999999971,1.542,1.148,-0.39400000000000013
0235+164,8000.0,53350.646,53387.85,37.203999999997905,1.542,1.063,-0.4790000000000001
0235+164,8000.0,53350.858,53382.577,31.718999999997322,1.454,1.379,-0.07499999999999996
0235+164,8000.0,53350.858,53382.635,31.777000000001863,1.454,1.285,-0.16900000000000004
0235+164,8000.0,53350.858,53382.694,31.83600000000297,1.454,1.382,-0.07200000000000006
0235+164,8000.0,53350.858,53382.733,31.875,1.454,1.353,-0.10099999999999998
0235+164,8000.0,53350.858,53387.841,36.983000000000175,1.454,1.148,-0.30600000000000005
0235+164,8000.0,53350.858,53387.85,36.99199999999837,1.454,1.063,-0.391
0235+164,8000.0,53350.937,53382.577,31.639999999999418,1.483,1.379,-0.10400000000000009
0235+164,8000.0,53350.937,53382.635,31.698000000003958,1.483,1.285,-0.19800000000000018
0235+164,8000.0,53350.937,53382.694,31.757000000005064,1.483,1.382,-0.1010000000000002
0235+164,8000.0,53350.937,53382.733,31.796000000002095,1.483,1.353,-0.13000000000000012
0235+164,8000.0,53350.937,53387.841,36.90400000000227,1.483,1.148,-0.3350000000000002
0235+164,8000.0,53350.937,53387.85,36.913000000000466,1.483,1.063,-0.42000000000000015
0235+164,8000.0,53351.845,53382.577,30.731999999996333,1.576,1.379,-0.19700000000000006
0235+164,8000.0,53351.845,53382.635,30.790000000000873,1.576,1.285,-0.29100000000000015
0235+164,8000.0,53351.845,53382.694,30.84900000000198,1.576,1.382,-0.19400000000000017
0235+164,8000.0,53351.845,53382.733,30.88799999999901,1.576,1.353,-0.2230000000000001
0235+164,8000.0,53351.845,53387.841,35.995999999999185,1.576,1.148,-0.42800000000000016
0235+164,8000.0,53351.845,53387.85,36.00499999999738,1.576,1.063,-0.5130000000000001
0235+164,8000.0,53351.933,53382.577,30.644000000000233,1.498,1.379,-0.119
0235+164,8000.0,53351.933,53382.635,30.702000000004773,1.498,1.285,-0.21300000000000008
0235+164,8000.0,53351.933,53382.694,30.76100000000588,1.498,1.382,-0.1160000000000001
0235+164,8000.0,53351.933,53382.733,30.80000000000291,1.498,1.353,-0.14500000000000002
0235+164,8000.0,53351.933,53387.841,35.908000000003085,1.498,1.148,-0.3500000000000001
0235+164,8000.0,53351.933,53387.85,35.91700000000128,1.498,1.063,-0.43500000000000005
0235+164,8000.0,53382.577,53412.654,30.077000000004773,1.379,1.428,0.04899999999999993
0235+164,8000.0,53382.577,53417.617,35.04000000000087,1.379,1.077,-0.30200000000000005
0235+164,8000.0,53382.635,53412.654,30.019000000000233,1.285,1.428,0.14300000000000002
0235+164,8000.0,53382.635,53417.617,34.98199999999633,1.285,1.077,-0.20799999999999996
0235+164,8000.0,53382.694,53412.654,29.959999999999127,1.382,1.428,0.04600000000000004
0235+164,8000.0,53382.694,53417.617,34.92299999999523,1.382,1.077,-0.30499999999999994
